Species common name,nest_height,scientific_name,common_name
Bismarck White-eye,NA,Zosterops hypoxanthus,Bismarck White-eye
Black Antbird,1.0499999999999998,Cercomacroides serva,Black Antbird
Black Antshrike,NA,Thamnophilus nigriceps,Black Antshrike
Black Baza,31,Aviceda leuphotes,Black Baza
Black Bee-eater,NA,Merops gularis,Black Bee-eater
Black Berrypecker,8.25,Melanocharis nigra,Black Berrypecker
Black Bishop,2,Euplectes gierowii,Black Bishop
Black Bittern,8.5,Ixobrychus flavicollis,Black Bittern
Black Bulbul,9.5,Hypsipetes leucocephalus,Black Bulbul
Black Bushbird,1.5,Neoctantes niger,Black Bushbird
Black Butcherbird,12.5,Melloria quoyi,Black Butcherbird
Black Caracara,28,Daptrius ater,Black Caracara
Black Catbird,3,Melanoptila glabrirostris,Black Catbird
Black Cinclodes,NA,Cinclodes maculirostris,Black Cinclodes
Black Coucal,0.4,Centropus grillii,Black Coucal
Black Crake,1.5,Zapornia flavirostra,Black Crake
Black Crowned-crane,NA,Balearica pavonina,Black Crowned-crane
Black Cuckoo,NA,Cuculus clamosus,Black Cuckoo
Black Cuckoo-dove,NA,Turacoena modesta,Black Cuckoo-dove
Black Cuckoo-shrike,14,Campephaga flava,Black Cuckoo-shrike
Black Curassow,9.5,Crax alector,Black Curassow
Black Currawong,NA,Strepera fuliginosa,Black Currawong
Black Drongo,8.5,Dicrurus macrocercus,Black Drongo
Black Eagle,37.5,Ictinaetus malaiensis,Black Eagle
Black Falcon,11,Falco subniger,Black Falcon
Black Fantail,NA,Rhipidura atra,Black Fantail
Black Flowerpiercer,2.8,Diglossa humeralis,Black Flowerpiercer
Black Francolin,0,Francolinus francolinus,Black Francolin
Black Grasswren,NA,Amytornis housei,Black Grasswren
Black Grouse,3.5,Lyrurus tetrix,Black Grouse
Black Guan,6.75,Chamaepetes unicolor,Black Guan
Black Guillemot,25,Cepphus grylle,Black Guillemot
Black Guineafowl,NA,Agelastes niger,Black Guineafowl
Black Harrier,0.25,Circus maurus,Black Harrier
Black Hawk-eagle,29.75,Spizaetus tyrannus,Black Hawk-eagle
Black Heron,3.2,Egretta ardesiaca,Black Heron
Black Honey-buzzard,NA,Henicopernis infuscatus,Black Honey-buzzard
Black Honeyeater,1.4,Sugomel nigrum,Black Honeyeater
Black Hornbill,NA,Anthracoceros malayanus,Black Hornbill
Black Inca,NA,Coeligena prunellei,Black Inca
Black Jacobin,3,Florisuga fusca,Black Jacobin
Black Kite,11.4,Milvus migrans,Black Kite
Black Lark,0,Melanocorypha yeltoniensis,Black Lark
Black Laughingthrush,3.75,Garrulax lugubris,Black Laughingthrush
Black Lory,NA,Chalcopsitta atra,Black Lory
Black Mamo,NA,Drepanis funerea,Black Mamo
Black Manakin,NA,Xenopipo atronitens,Black Manakin
Black Mannikin,NA,Lonchura stygia,Black Mannikin
Black Metaltail,NA,Metallura phoebe,Black Metaltail
Black Monarch,2.8499999999999996,Symposiachrus axillaris,Black Monarch
Black Noddy,10,Anous minutus,Black Noddy
Black Nunbird,0,Monasa atra,Black Nunbird
Black Oriole,NA,Oriolus hosii,Black Oriole
Black Oropendola,NA,Psarocolius guatimozinus,Black Oropendola
Black Parrot,NA,Coracopsis nigra,Black Parrot
Black Partridge,NA,Melanoperdix niger,Black Partridge
Black Petrel,NA,Procellaria parkinsoni,Black Petrel
Black Phoebe,2.5,Sayornis nigricans,Black Phoebe
Black Pitohui,NA,Melanorectes nigrescens,Black Pitohui
Black Rail,0,Laterallus jamaicensis,Black Rail
Black Redstart,NA,Phoenicurus ochruros,Black Redstart
Black Robin,5,Petroica traversi,Black Robin
Black Rosy-finch,NA,Leucosticte atrata,Black Rosy-finch
Black Saw-wing,NA,Psalidoprocne pristoptera,Black Saw-wing
Black Scimitarbill,2.25,Rhinopomastus aterrimus,Black Scimitarbill
Black Scoter,0,Melanitta americana,Black Scoter
Black Scrub-robin,2,Cercotrichas podobe,Black Scrub-robin
Black Seedeater,5.3,Sporophila corvina,Black Seedeater
Black Shama,NA,Kittacincla cebuensis,Black Shama
Black Sicklebill,15,Epimachus fastosus,Black Sicklebill
Black Siskin,NA,Spinus atratus,Black Siskin
Black Sittella,NA,Daphoenositta miranda,Black Sittella
Black Skimmer,0,Rynchops niger,Black Skimmer
Black Solitaire,3,Entomodestes coracinus,Black Solitaire
Black Solitary Eagle,15,Buteogallus solitarius,Black Solitary Eagle
Black Sparrowhawk,NA,Accipiter melanoleucus,Black Sparrowhawk
Black Spinetail,NA,Telacanthura melanopygia,Black Spinetail
Black Stilt,0,Himantopus novaezelandiae,Black Stilt
Black Stork,NA,Ciconia nigra,Black Stork
Black Storm-petrel,NA,Hydrobates melania,Black Storm-petrel
Black Sunbird,7.5,Leptocoma aspasia,Black Sunbird
Black Swan,0,Cygnus atratus,Black Swan
Black Swift,0,Cypseloides niger,Black Swift
Black Tern,NA,Chlidonias niger,Black Tern
Black Thicket-fantail,0.8,Rhipidura maculipectus,Black Thicket-fantail
Black Thrush,14,Turdus infuscatus,Black Thrush
Black Tinamou,0,Tinamus osgoodi,Black Tinamou
Black Turnstone,0,Arenaria melanocephala,Black Turnstone
Black Wheatear,4,Oenanthe leucura,Black Wheatear
Black Woodpecker,16.5,Dryocopus martius,Black Woodpecker
Black-and-buff Woodpecker,NA,Meiglyptes jugularis,Black-and-buff Woodpecker
Black-and-chestnut Eagle,NA,Spizaetus isidori,Black-and-chestnut Eagle
Black-and-chestnut Warbling-finch,NA,Poospiza whitii,Black-and-chestnut Warbling-finch
Black-and-cinnamon Fantail,NA,Rhipidura nigrocinnamomea,Black-and-cinnamon Fantail
Black-and-crimson Oriole,NA,Oriolus consanguineus,Black-and-crimson Oriole
Black-and-gold Cotinga,NA,Lipaugus ater,Black-and-gold Cotinga
Black-and-gold Tanager,NA,Bangsia melanochlamys,Black-and-gold Tanager
Black-and-orange Flycatcher,1,Ficedula nigrorufa,Black-and-orange Flycatcher
Black-and-red Broadbill,7,Cymbirhynchus macrorhynchos,Black-and-red Broadbill
Black-and-rufous Swallow,0.55,Hirundo nigrorufa,Black-and-rufous Swallow
Black-and-rufous Warbling-finch,NA,Poospiza nigrorufa,Black-and-rufous Warbling-finch
Black-and-tawny Seedeater,NA,Sporophila nigrorufa,Black-and-tawny Seedeater
Black-and-white Antbird,NA,Myrmochanes hemileucus,Black-and-white Antbird
Black-and-white Becard,17,Pachyramphus albogriseus,Black-and-white Becard
Black-and-white Bulbul,4,Microtarsus melanoleucos,Black-and-white Bulbul
Black-and-white Hawk-eagle,58.5,Spizaetus melanoleucus,Black-and-white Hawk-eagle
Black-and-white Laughingthrush,NA,Garrulax bicolor,Black-and-white Laughingthrush
Black-and-white Mannikin,NA,Spermestes bicolor,Black-and-white Mannikin
Black-and-white Monjita,NA,Xolmis dominicanus,Black-and-white Monjita
Black-and-white Owl,29.875,Ciccaba nigrolineata,Black-and-white Owl
Black-and-white Seedeater,NA,Sporophila luctuosa,Black-and-white Seedeater
Black-and-white Shrike-flycatcher,16,Bias musicus,Black-and-white Shrike-flycatcher
Black-and-white Tanager,1.375,Conothraupis speculigera,Black-and-white Tanager
Black-and-white Tody-flycatcher,1.9500000000000002,Poecilotriccus capitalis,Black-and-white Tody-flycatcher
Black-and-white Warbler,0.125,Mniotilta varia,Black-and-white Warbler
Black-and-yellow Broadbill,14,Eurylaimus ochromalus,Black-and-yellow Broadbill
Black-and-yellow Grosbeak,NA,Mycerobas icterioides,Black-and-yellow Grosbeak
Black-and-yellow Silky-flycatcher,3.75,Phainoptila melanoxantha,Black-and-yellow Silky-flycatcher
Black-and-yellow Tanager,12,Chrysothlypis chrysomelas,Black-and-yellow Tanager
Black-backed Antshrike,NA,Thamnophilus melanonotus,Black-backed Antshrike
Black-backed Butcherbird,20,Cracticus mentalis,Black-backed Butcherbird
Black-backed Cisticola,NA,Cisticola eximius,Black-backed Cisticola
Black-backed Forktail,0,Enicurus immaculatus,Black-backed Forktail
Black-backed Fruit-dove,NA,Ptilinopus cinctus,Black-backed Fruit-dove
Black-backed Grosbeak,4.2,Pheucticus aureoventris,Black-backed Grosbeak
Black-backed Oriole,NA,Icterus abeillei,Black-backed Oriole
Black-backed Puffback,9.5,Dryoscopus cubla,Black-backed Puffback
Black-backed Tanager,3,Tangara peruviana,Black-backed Tanager
Black-backed Thornbill,NA,Ramphomicron dorsale,Black-backed Thornbill
Black-backed Tody-flycatcher,NA,Poecilotriccus pulchellus,Black-backed Tody-flycatcher
Black-backed Water-tyrant,NA,Fluvicola albiventer,Black-backed Water-tyrant
Black-backed Woodpecker,7.205,Picoides arcticus,Black-backed Woodpecker
Black-banded Barbet,NA,Psilopogon javensis,Black-banded Barbet
Black-banded Crake,2.55,Porzana fasciata,Black-banded Crake
Black-banded Flycatcher,NA,Ficedula timorensis,Black-banded Flycatcher
Black-banded Owl,22.5,Ciccaba huhula,Black-banded Owl
Black-banded Plover,0,Charadrius thoracicus,Black-banded Plover
Black-banded Woodcreeper,NA,Dendrocolaptes picumnus,Black-banded Woodcreeper
Black-bellied Antwren,0.24,Formicivora melanogaster,Black-bellied Antwren
Black-bellied Bustard,0,Lissotis melanogaster,Black-bellied Bustard
Black-bellied Cicadabird,NA,Edolisoma montanum,Black-bellied Cicadabird
Black-bellied Crimson Finch,11,Neochmia phaeton,Black-bellied Crimson Finch
Black-bellied Cuckoo,8,Piaya melanogaster,Black-bellied Cuckoo
Black-bellied Firefinch,NA,Lagonosticta rara,Black-bellied Firefinch
Black-bellied Gnateater,NA,Conopophaga melanogaster,Black-bellied Gnateater
Black-bellied Hummingbird,4,Eupherusa nigriventris,Black-bellied Hummingbird
Black-bellied Malkoha,NA,Phaenicophaeus diardi,Black-bellied Malkoha
Black-bellied Myzomela,NA,Myzomela erythromelas,Black-bellied Myzomela
Black-bellied Sandgrouse,0,Pterocles orientalis,Black-bellied Sandgrouse
Black-bellied Seedcracker,5.5,Pyrenestes ostrinus,Black-bellied Seedcracker
Black-bellied Seedeater,0.44999999999999996,Sporophila melanogaster,Black-bellied Seedeater
Black-bellied Starling,5.5,Notopholia corusca,Black-bellied Starling
Black-bellied Storm-petrel,NA,Fregetta tropica,Black-bellied Storm-petrel
Black-bellied Sunbird,NA,Cinnyris nectarinioides,Black-bellied Sunbird
Black-bellied Tern,0,Sterna acuticauda,Black-bellied Tern
Black-bellied Thorntail,27.5,Discosura langsdorffi,Black-bellied Thorntail
Black-bellied Whistling-duck,3.05,Dendrocygna autumnalis,Black-bellied Whistling-duck
Black-bellied Wren,1.1575,Pheugopedius fasciatoventris,Black-bellied Wren
Black-belted Flowerpecker,12.5,Dicaeum haematostictum,Black-belted Flowerpecker
Black-bibbed Cicadabird,NA,Edolisoma mindanense,Black-bibbed Cicadabird
Black-bibbed Monarch,NA,Symposiachrus mundus,Black-bibbed Monarch
Black-bibbed Tit,NA,Poecile hypermelaenus,Black-bibbed Tit
Black-billed Amazon,NA,Amazona agilis,Black-billed Amazon
Black-billed Barbet,NA,Lybius guifsobalito,Black-billed Barbet
Black-billed Brush-turkey,0,Talegalla fuscirostris,Black-billed Brush-turkey
Black-billed Capercaillie,0,Tetrao urogalloides,Black-billed Capercaillie
Black-billed Coucal,NA,Centropus bernsteini,Black-billed Coucal
Black-billed Cuckoo,6.75,Coccyzus erythropthalmus,Black-billed Cuckoo
Black-billed Cuckoo-dove,NA,Macropygia nigrirostris,Black-billed Cuckoo-dove
Black-billed Flycatcher,NA,Aphanotriccus audax,Black-billed Flycatcher
Black-billed Gull,NA,Larus bulleri,Black-billed Gull
Black-billed Kingfisher,NA,Pelargopsis melanorhyncha,Black-billed Kingfisher
Black-billed Magpie,5.5,Pica hudsonia,Black-billed Magpie
Black-billed Mountain-toucan,30,Andigena nigrirostris,Black-billed Mountain-toucan
Black-billed Nightingale-thrush,3,Catharus gracilirostris,Black-billed Nightingale-thrush
Black-billed Peppershrike,NA,Cyclarhis nigrirostris,Black-billed Peppershrike
Black-billed Scythebill,NA,Campylorhamphus falcularius,Black-billed Scythebill
Black-billed Seed-finch,NA,Sporophila atrirostris,Black-billed Seed-finch
Black-billed Shrike-tyrant,NA,Agriornis montanus,Black-billed Shrike-tyrant
Black-billed Sicklebill,NA,Drepanornis albertisi,Black-billed Sicklebill
Black-billed Streamertail,NA,Trochilus scitulus,Black-billed Streamertail
Black-billed Thrush,NA,Turdus ignobilis,Black-billed Thrush
Black-billed Toucanet,NA,Aulacorhynchus cyanolaemus,Black-billed Toucanet
Black-billed Treehunter,NA,Thripadectes melanorhynchus,Black-billed Treehunter
Black-billed Turaco,5.5,Tauraco schuettii,Black-billed Turaco
Black-billed Weaver,6,Ploceus melanogaster,Black-billed Weaver
Black-billed Wood-dove,2.25,Turtur abyssinicus,Black-billed Wood-dove
Black-billed Woodhoopoe,4,Phoeniculus somaliensis,Black-billed Woodhoopoe
Black-bodied Woodpecker,6,Hylatomus schulzii,Black-bodied Woodpecker
Black-breasted Barbet,NA,Pogonornis rolleti,Black-breasted Barbet
Black-breasted Boatbill,7.5,Machaerirhynchus nigripectus,Black-breasted Boatbill
Black-breasted Brilliant,NA,Heliodoxa whitelyana,Black-breasted Brilliant
Black-breasted Buttonquail,0,Turnix melanogaster,Black-breasted Buttonquail
Black-breasted Buzzard,17,Hamirostra melanosternon,Black-breasted Buzzard
Black-breasted Gnateater,NA,Conopophaga snethlageae,Black-breasted Gnateater
Black-breasted Hillstar,NA,Oreotrochilus melanogaster,Black-breasted Hillstar
Black-breasted Mannikin,NA,Lonchura teerinki,Black-breasted Mannikin
Black-breasted Myzomela,NA,Myzomela vulnerata,Black-breasted Myzomela
Black-breasted Parrotbill,2.5,Paradoxornis flavirostris,Black-breasted Parrotbill
Black-breasted Puffbird,8.55,Notharchus pectoralis,Black-breasted Puffbird
Black-breasted Puffleg,NA,Eriocnemis nigrivestis,Black-breasted Puffleg
Black-breasted Seedeater,NA,Sporophila ophthalmica,Black-breasted Seedeater
Black-breasted Thrush,3,Turdus dissimilis,Black-breasted Thrush
Black-breasted Warbling-finch,NA,Microspingus pectoralis,Black-breasted Warbling-finch
Black-breasted Weaver,2,Ploceus benghalensis,Black-breasted Weaver
Black-breasted Wood-quail,0,Odontophorus leucolaemus,Black-breasted Wood-quail
Black-browed Albatross,0,Thalassarche melanophris,Black-browed Albatross
Black-browed Babbler,NA,Malacocincla perspicillata,Black-browed Babbler
Black-browed Barbet,7.25,Psilopogon oorti,Black-browed Barbet
Black-browed Bushtit,NA,Aegithalos bonvaloti,Black-browed Bushtit
Black-browed Fulvetta,1.5,Alcippe grotei,Black-browed Fulvetta
Black-browed Mountain Greenbul,3,Arizelocichla fusciceps,Black-browed Mountain Greenbul
Black-browed Reed-warbler,75,Acrocephalus bistrigiceps,Black-browed Reed-warbler
Black-browed Triller,NA,Lalage atrovirens,Black-browed Triller
Black-capped Antwren,NA,Herpsilochmus atricapillus,Black-capped Antwren
Black-capped Apalis,NA,Apalis nigriceps,Black-capped Apalis
Black-capped Babbler,NA,Pellorneum nigrocapitatum,Black-capped Babbler
Black-capped Becard,NA,Pachyramphus marginatus,Black-capped Becard
Black-capped Bulbul,2.5,Pycnonotus melanicterus,Black-capped Bulbul
Black-capped Chickadee,10,Poecile atricapillus,Black-capped Chickadee
Black-capped Flycatcher,8,Empidonax atriceps,Black-capped Flycatcher
Black-capped Foliage-gleaner,NA,Philydor atricapillus,Black-capped Foliage-gleaner
Black-capped Gnatcatcher,3,Polioptila nigriceps,Black-capped Gnatcatcher
Black-capped Hemispingus,NA,Kleinothraupis atropileus,Black-capped Hemispingus
Black-capped Illadopsis,0.3,Illadopsis cleaveri,Black-capped Illadopsis
Black-capped Kingfisher,NA,Halcyon pileata,Black-capped Kingfisher
Black-capped Lory,NA,Lorius lory,Black-capped Lory
Black-capped Parakeet,NA,Pyrrhura rupicola,Black-capped Parakeet
Black-capped Petrel,0,Pterodroma hasitata,Black-capped Petrel
Black-capped Piprites,NA,Piprites pileata,Black-capped Piprites
Black-capped Pygmy-tyrant,3.975,Myiornis atricapillus,Black-capped Pygmy-tyrant
Black-capped Robin,NA,Heteromyias armiti,Black-capped Robin
Black-capped Screech-owl,NA,Megascops atricapilla,Black-capped Screech-owl
Black-capped Siskin,NA,Spinus atriceps,Black-capped Siskin
Black-capped Social-weaver,3,Pseudonigrita cabanisi,Black-capped Social-weaver
Black-capped Sparrow,NA,Arremon abeillei,Black-capped Sparrow
Black-capped Speirops,6,Zosterops lugubris,Black-capped Speirops
Black-capped Swallow,NA,Atticora pileata,Black-capped Swallow
Black-capped Tanager,5.1,Tangara heinei,Black-capped Tanager
Black-capped Tinamou,NA,Crypturellus atrocapillus,Black-capped Tinamou
Black-capped Tyrannulet,NA,Phyllomyias nigrocapillus,Black-capped Tyrannulet
Black-capped Vireo,1.7,Vireo atricapilla,Black-capped Vireo
Black-capped Warbling-finch,NA,Microspingus melanoleucus,Black-capped Warbling-finch
Black-capped White-eye,NA,Zosterops atricapilla,Black-capped White-eye
Black-capped Woodland-warbler,NA,Phylloscopus herberti,Black-capped Woodland-warbler
Black-casqued Hornbill,21.5,Ceratogymna atrata,Black-casqued Hornbill
Black-cheeked Ant-tanager,1.5,Habia atrimaxillaris,Black-cheeked Ant-tanager
Black-cheeked Gnateater,0.6000000000000001,Conopophaga melanops,Black-cheeked Gnateater
Black-cheeked Lovebird,NA,Agapornis nigrigenis,Black-cheeked Lovebird
Black-cheeked Warbler,0,Basileuterus melanogenys,Black-cheeked Warbler
Black-cheeked Waxbill,NA,Estrilda charmosyna,Black-cheeked Waxbill
Black-cheeked Woodpecker,19,Melanerpes pucherani,Black-cheeked Woodpecker
Black-chested Buzzard-eagle,NA,Geranoaetus melanoleucus,Black-chested Buzzard-eagle
Black-chested Fruiteater,NA,Pipreola lubomirskii,Black-chested Fruiteater
Black-chested Jay,NA,Cyanocorax affinis,Black-chested Jay
Black-chested Mountain-tanager,NA,Cnemathraupis eximia,Black-chested Mountain-tanager
Black-chested Prinia,1.3,Prinia flavicans,Black-chested Prinia
Black-chested Snake-eagle,15.5,Circaetus pectoralis,Black-chested Snake-eagle
Black-chested Sparrow,NA,Peucaea humeralis,Black-chested Sparrow
Black-chested Tyrant,NA,Taeniotriccus andrei,Black-chested Tyrant
Black-chinned Antbird,NA,Hypocnemoides melanopogon,Black-chinned Antbird
Black-chinned Babbler,NA,Cyanoderma pyrrhops,Black-chinned Babbler
Black-chinned Fruit-dove,3.75,Ramphiculus leclancheri,Black-chinned Fruit-dove
Black-chinned Honeyeater,13.5,Melithreptus gularis,Black-chinned Honeyeater
Black-chinned Hummingbird,5.25,Archilochus alexandri,Black-chinned Hummingbird
Black-chinned Monarch,NA,Symposiachrus boanensis,Black-chinned Monarch
Black-chinned Mountain-tanager,21.65,Anisognathus notabilis,Black-chinned Mountain-tanager
Black-chinned Robin,NA,Poecilodryas brachyura,Black-chinned Robin
Black-chinned Siskin,NA,Spinus barbatus,Black-chinned Siskin
Black-chinned Sparrow,0.7925,Spizella atrogularis,Black-chinned Sparrow
Black-chinned Weaver,NA,Ploceus nigrimentus,Black-chinned Weaver
Black-chinned Whistler,NA,Pachycephala mentalis,Black-chinned Whistler
Black-chinned Yuhina,NA,Yuhina nigrimenta,Black-chinned Yuhina
Black-collared Apalis,8,Oreolais pulcher,Black-collared Apalis
Black-collared Barbet,3.5,Lybius torquatus,Black-collared Barbet
Black-collared Bulbul,1.5,Neolestes torquatus,Black-collared Bulbul
Black-collared Hawk,29.5,Busarellus nigricollis,Black-collared Hawk
Black-collared Jay,NA,Cyanolyca armillata,Black-collared Jay
Black-collared Lovebird,NA,Agapornis swindernianus,Black-collared Lovebird
Black-collared Starling,NA,Gracupica nigricollis,Black-collared Starling
Black-collared Swallow,3,Pygochelidon melanoleuca,Black-collared Swallow
Black-cowled Oriole,NA,Icterus prosthemelas,Black-cowled Oriole
Black-cowled Saltator,NA,Saltator nigriceps,Black-cowled Saltator
Black-crested Antshrike,6.5,Sakesphorus canadensis,Black-crested Antshrike
Black-crested Bulbul,5.5,Pycnonotus flaviventris,Black-crested Bulbul
Black-crested Coquette,12,Lophornis helenae,Black-crested Coquette
Black-crested Finch,NA,Lophospingus pusillus,Black-crested Finch
Black-crested Tit-tyrant,NA,Anairetes nigrocristatus,Black-crested Tit-tyrant
Black-crested Titmouse,4.5,Baeolophus atricristatus,Black-crested Titmouse
Black-crested Warbler,0,Myiothlypis nigrocristata,Black-crested Warbler
Black-crowned Antshrike,3.375,Thamnophilus atrinucha,Black-crowned Antshrike
Black-crowned Babbler,1.825,Sterrhoptilus nigrocapitatus,Black-crowned Babbler
Black-crowned Barwing,NA,Actinodura sodangorum,Black-crowned Barwing
Black-crowned Capuchin Babbler,NA,Phyllanthus rubiginosus,Black-crowned Capuchin Babbler
Black-crowned Fulvetta,NA,Schoeniparus klossi,Black-crowned Fulvetta
Black-crowned Monjita,2.5,Xolmis coronatus,Black-crowned Monjita
Black-crowned Palm-tanager,2,Phaenicophilus palmarum,Black-crowned Palm-tanager
Black-crowned Pitta,NA,Erythropitta ussheri,Black-crowned Pitta
Black-crowned Pittasoma,1.5,Pittasoma michleri,Black-crowned Pittasoma
Black-crowned Sparrow-lark,0.5,Eremopterix nigriceps,Black-crowned Sparrow-lark
Black-crowned Tchagra,5,Tchagra senegalus,Black-crowned Tchagra
Black-crowned Tityra,23,Tityra inquisitor,Black-crowned Tityra
Black-crowned Waxbill,5,Estrilda nonnula,Black-crowned Waxbill
Black-crowned White-eye,NA,Zosterops atrifrons,Black-crowned White-eye
Black-crowned Woodpecker,NA,Colaptes atriceps,Black-crowned Woodpecker
Black-eared Barbet,15.5,Psilopogon duvaucelii,Black-eared Barbet
Black-eared Catbird,4.5,Ailuroedus melanotis,Black-eared Catbird
Black-eared Cuckoo,NA,Chalcites osculans,Black-eared Cuckoo
Black-eared Fairy,18,Heliothryx auritus,Black-eared Fairy
Black-eared Ground-thrush,2.95,Geokichla camaronensis,Black-eared Ground-thrush
Black-eared Hemispingus,NA,Sphenopsis melanotis,Black-eared Hemispingus
Black-eared Miner,3.75,Manorina melanotis,Black-eared Miner
Black-eared Seedeater,5.5,Crithagra mennelli,Black-eared Seedeater
Black-eared Shrike-babbler,4.5,Pteruthius melanotis,Black-eared Shrike-babbler
Black-eared Sparrow-lark,0,Eremopterix australis,Black-eared Sparrow-lark
Black-eared Wheatear,NA,Oenanthe hispanica,Black-eared Wheatear
Black-eared Wood-quail,0,Odontophorus melanotis,Black-eared Wood-quail
Black-faced Antbird,0,Myrmoborus myotherinus,Black-faced Antbird
Black-faced Antthrush,1.975,Formicarius analis,Black-faced Antthrush
Black-faced Apalis,NA,Apalis personata,Black-faced Apalis
Black-faced Babbler,4,Turdoides melanops,Black-faced Babbler
Black-faced Brush-finch,1.5,Atlapetes melanolaemus,Black-faced Brush-finch
Black-faced Bunting,0.75,Emberiza spodocephala,Black-faced Bunting
Black-faced Canary,4.5,Crithagra capistrata,Black-faced Canary
Black-faced Cormorant,NA,Phalacrocorax fuscescens,Black-faced Cormorant
Black-faced Cotinga,32.5,Conioptilon mcilhennyi,Black-faced Cotinga
Black-faced Coucal,NA,Centropus melanops,Black-faced Coucal
Black-faced Cuckoo-shrike,12,Coracina novaehollandiae,Black-faced Cuckoo-shrike
Black-faced Dacnis,NA,Dacnis lineata,Black-faced Dacnis
Black-faced Friarbird,NA,Philemon moluccensis,Black-faced Friarbird
Black-faced Go-away-bird,7.5,Corythaixoides leopoldi,Black-faced Go-away-bird
Black-faced Grassquit,1.25,Melanospiza bicolor,Black-faced Grassquit
Black-faced Grosbeak,5.25,Caryothraustes poliogaster,Black-faced Grosbeak
Black-faced Hawk,NA,Leucopternis melanops,Black-faced Hawk
Black-faced Ibis,NA,Theristicus melanopis,Black-faced Ibis
Black-faced Kingfisher,NA,Lacedo melanops,Black-faced Kingfisher
Black-faced Laughingthrush,2.25,Trochalopteron affine,Black-faced Laughingthrush
Black-faced Monarch,NA,Monarcha melanopsis,Black-faced Monarch
Black-faced Munia,NA,Lonchura molucca,Black-faced Munia
Black-faced Pitta,NA,Pitta anerythra,Black-faced Pitta
Black-faced Rufous-warbler,NA,Bathmocercus rufus,Black-faced Rufous-warbler
Black-faced Sandgrouse,0,Pterocles decoratus,Black-faced Sandgrouse
Black-faced Sheathbill,NA,Chionis minor,Black-faced Sheathbill
Black-faced Solitaire,3.5,Myadestes melanops,Black-faced Solitaire
Black-faced Spoonbill,NA,Platalea minor,Black-faced Spoonbill
Black-faced Tanager,0.6000000000000001,Schistochlamys melanopis,Black-faced Tanager
Black-faced Warbler,NA,Abroscopus schisticeps,Black-faced Warbler
Black-faced Waxbill,6.5,Estrilda erythronotos,Black-faced Waxbill
Black-faced Woodswallow,10.5,Artamus cinereus,Black-faced Woodswallow
Black-footed Albatross,0,Phoebastria nigripes,Black-footed Albatross
Black-fronted Brush-finch,NA,Atlapetes nigrifrons,Black-fronted Brush-finch
Black-fronted Bulbul,3,Pycnonotus nigricans,Black-fronted Bulbul
Black-fronted Bush-shrike,35,Chlorophoneus nigrifrons,Black-fronted Bush-shrike
Black-fronted Dotterel,0,Elseyornis melanops,Black-fronted Dotterel
Black-fronted Fig-parrot,NA,Cyclopsitta nigrifrons,Black-fronted Fig-parrot
Black-fronted Flowerpecker,NA,Dicaeum igniferum,Black-fronted Flowerpecker
Black-fronted Francolin,NA,Pternistis atrifrons,Black-fronted Francolin
Black-fronted Ground-tyrant,NA,Muscisaxicola frontalis,Black-fronted Ground-tyrant
Black-fronted Nunbird,NA,Monasa nigrifrons,Black-fronted Nunbird
Black-fronted Parakeet,NA,Cyanoramphus zealandicus,Black-fronted Parakeet
Black-fronted Piping-guan,2.55,Pipile jacutinga,Black-fronted Piping-guan
Black-fronted Tern,0,Chlidonias albostriatus,Black-fronted Tern
Black-fronted Tyrannulet,NA,Phylloscartes nigrifrons,Black-fronted Tyrannulet
Black-fronted White-eye,NA,Zosterops chrysolaemus,Black-fronted White-eye
Black-fronted Wood-quail,0,Odontophorus atrifrons,Black-fronted Wood-quail
Black-girdled Barbet,NA,Capito dayi,Black-girdled Barbet
Black-goggled Tanager,1.5,Trichothraupis melanops,Black-goggled Tanager
Black-headed Antbird,NA,Percnostola rufifrons,Black-headed Antbird
Black-headed Antthrush,1.5,Formicarius nigricapillus,Black-headed Antthrush
Black-headed Apalis,7.5,Apalis melanocephala,Black-headed Apalis
Black-headed Bee-eater,0.975,Merops breweri,Black-headed Bee-eater
Black-headed Berryeater,6,Carpornis melanocephala,Black-headed Berryeater
Black-headed Brush-finch,NA,Arremon atricapillus,Black-headed Brush-finch
Black-headed Bulbul,4,Brachypodius atriceps,Black-headed Bulbul
Black-headed Bunting,3.5,Emberiza melanocephala,Black-headed Bunting
Black-headed Canary,NA,Serinus alario,Black-headed Canary
Black-headed Cuckoo-shrike,6,Lalage melanoptera,Black-headed Cuckoo-shrike
Black-headed Duck,NA,Heteronetta atricapilla,Black-headed Duck
Black-headed Gonolek,8,Laniarius erythrogaster,Black-headed Gonolek
Black-headed Greenfinch,NA,Chloris ambigua,Black-headed Greenfinch
Black-headed Grosbeak,5.05,Pheucticus melanocephalus,Black-headed Grosbeak
Black-headed Gull,NA,Larus ridibundus,Black-headed Gull
Black-headed Hemispingus,NA,Pseudospingus verticalis,Black-headed Hemispingus
Black-headed Heron,15,Ardea melanocephala,Black-headed Heron
Black-headed Honeyeater,17.1,Melithreptus affinis,Black-headed Honeyeater
Black-headed Ibis,NA,Threskiornis melanocephalus,Black-headed Ibis
Black-headed Jay,8.5,Garrulus lanceolatus,Black-headed Jay
Black-headed Kingfisher,NA,Actenoides capucinus,Black-headed Kingfisher
Black-headed Lapwing,0,Vanellus tectus,Black-headed Lapwing
